season,athlete_id,player,team,position,games_played,games_started,minutes_total,mpg,pts_total,ppg,pts_per_40,fgm_total,fga_total,fg_pct,fg3m_total,fg3a_total,fg3_pct,threepar,ftm_total,fta_total,ft_pct,fta_rate,reb_total,rpg,reb_per_40,oreb_total,oreb_pg,oreb_per_40,dreb_total,dreb_pg,dreb_per_40,ast_total,apg,ast_per_40,stl_total,spg,stl_per_40,blk_total,bpg,blk_per_40,tov_total,tovpg,tov_per_40,efg_pct,ts_pct,usage,ast_pct,tov_pct,oreb_pct,dreb_pct,usage_pctile_pos,ts_pctile_pos,efg_pctile_pos,ast_pctile_pos,tov_pctile_pos,oreb_pctile_pos,dreb_pctile_pos,fg3_pctile_pos,ft_pctile_pos,threepar_pctile_pos,fta_rate_pctile_pos
2026,9349988,Allie Hoy,Monmouth (IL),G,25,18,575.433,23.017,110,4.4,7.646,34,118,0.288,12,49,0.245,0.415,30,39,0.769,0.331,54,2.16,3.754,13,0.52,0.904,41,1.64,2.85,42,1.68,2.92,33,1.32,2.294,5,0.2,0.348,50,2,3.476,0.339,0.407,0.148,0.16,0.27,0.023,0.082,0.094,0.24,0.127,0.606,0.796,0.271,0.134,0.322,0.751,0.586,0.672
2026,9349992,Ella Goodrich,Monmouth (IL),F,10,10,264.25,26.425,117,11.7,17.711,40,101,0.396,4,16,0.25,0.158,33,55,0.6,0.545,75,7.5,11.353,22,2.2,3.33,53,5.3,8.023,10,1,1.514,23,2.3,3.482,4,0.4,0.605,27,2.7,4.087,0.416,0.467,0.266,0.104,0.177,0.085,0.231,0.776,0.332,0.288,0.415,0.492,0.538,0.841,0.333,0.247,0.541,0.933
2026,9349993,Averi Rangel,Monmouth (IL),G,25,25,579.05,23.162,155,6.2,10.707,55,179,0.307,38,125,0.304,0.698,7,9,0.778,0.05,40,1.6,2.763,5,0.2,0.345,35,1.4,2.418,24,0.96,1.658,20,0.8,1.382,0,0,0,51,2.04,3.523,0.413,0.424,0.186,0.099,0.218,0.009,0.07,0.356,0.3,0.388,0.205,0.493,0.041,0.098,0.562,0.754,0.947,0.029
2026,9349994,Kynlee Stearns,Monmouth (IL),G,25,25,781.267,31.251,297,11.88,15.206,100,298,0.336,20,90,0.222,0.302,77,113,0.681,0.379,113,4.52,5.785,13,0.52,0.666,100,4,5.12,54,2.16,2.765,35,1.4,1.792,1,0.04,0.051,72,2.88,3.686,0.369,0.427,0.248,0.178,0.172,0.017,0.148,0.838,0.337,0.29,0.722,0.242,0.173,0.835,0.214,0.45,0.402,0.761
2026,9349995,Ava Borchardt,Monmouth (IL),F,20,0,145.633,7.282,27,1.35,7.416,12,39,0.308,0,0,NA,0,3,8,0.375,0.205,24,1.2,6.592,11,0.55,3.021,13,0.65,3.571,2,0.1,0.549,7,0.35,1.923,1,0.05,0.275,9,0.45,2.472,0.308,0.317,0.163,0.032,0.175,0.077,0.103,0.18,0.023,0.024,0.031,0.471,0.441,0.029,NA,0.037,0.009,0.163
2026,9349996,Madison Finch,Monmouth (IL),G,1,0,2.467,2.467,0,0,0,0,2,0,0,1,0,0.5,0,0,NA,0,1,1,16.216,0,0,0,1,1,16.216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.374,0,0,0,0.467,1,0,0,0,0,0,1,0.001,NA,0.651,0
2026,9349998,Brooklyn Sellers,Monmouth (IL),F,25,24,476.1,19.044,98,3.92,8.234,38,105,0.362,0,3,0,0.029,22,34,0.647,0.324,144,5.76,12.098,39,1.56,3.277,105,4.2,8.822,19,0.76,1.596,10,0.4,0.84,10,0.4,0.84,33,1.32,2.773,0.362,0.408,0.148,0.092,0.216,0.084,0.254,0.094,0.129,0.127,0.399,0.756,0.519,0.907,0.01,0.311,0.233,0.468
2026,9350297,Juniper Schwartzman,Grinnell,F,24,24,527.4,21.975,119,4.958,9.025,46,100,0.46,0,0,NA,0,27,47,0.574,0.47,193,8.042,14.638,76,3.167,5.764,117,4.875,8.874,19,0.792,1.441,10,0.417,0.758,3,0.125,0.228,22,0.917,1.669,0.46,0.493,0.136,0.09,0.154,0.174,0.27,0.065,0.508,0.568,0.37,0.278,1,0.948,NA,0.216,0.029,0.834
2026,9350298,Nora Lynch,Grinnell,NA,24,24,587.667,24.486,212,8.833,14.43,67,155,0.432,31,76,0.408,0.49,47,51,0.922,0.329,69,2.875,4.697,20,0.833,1.361,49,2.042,3.335,35,1.458,2.382,14,0.583,0.953,6,0.25,0.408,39,1.625,2.655,0.532,0.597,0.185,0.16,0.18,0.041,0.101,0.3,0.984,0.983,0.883,0.453,0.678,0.653,0.994,1,0.581,0.781
2026,9350299,Emily Roesler,Grinnell,NA,9,0,31.35,3.483,0,0,0,0,1,0,0,0,NA,0,0,0,NA,0,4,0.444,5.104,0,0,0,4,0.444,5.104,2,0.222,2.552,0,0,0,0,0,0,2,0.222,2.552,0,0,0.048,0.131,0.667,0,0.155,0.003,0.001,0.001,0.404,1,0.014,0.874,NA,NA,0.001,0.001
